Num. Id;Nombre;Precio;Disponibilidad;Autor;BGG;Temática;Si Buscas...;Edad;Núm. jugadores;Tiempo de juego;Medidas;Complejidad;Editorial;Dependencia del idioma;Mecánica;Idioma;ranking
1897;Holmes, Sherlock & Mycroft;19.95;Disponible;;174078;Detectivesca;Familiares, Para 2;de 10 a 14 años, de 14 a 18 años;2;30 minutos;;;Devir;;Deducción e Investigación;Español;6,852
1898;Samurai Sword: Sol Naciente;16.95;Disponible;;128667;;;de 8 a 10 años, de 10 a 14 años, de 14 a 18 años;;30;138 x 190 x 32 mm;;Edge Entertainment;;;Español;6,67999
1899;Candy Crush Duel;22.5;Disponible;;;Abstracto;Familiares, Para 2, Viaje;de 8 a 10 años, de 10 a 14 años, de 14 a 18 años, más de 18 años;2;30 min.;;Medio;2 Tomatoes;;Puzzle;Español;
1900;Tres Deseos;19.4;Disponible;;288604;Abstracto;Familiares, Fiesta, Infantil;de 6 a 8 años, de 8 a 10 años, de 10 a 14 años, de 14 a 18 años, más de 18 años;3, 4, 5, 6, 7, 8;20 min;320 x 180 x 55 mm;Medio;El Troquel;Poca;Tienta la suerte;Español;8,4375
1901;La Leyenda de los Cinco Anillos: el juego de cartas - Justicia para Satsume;7.62;Disponible;;;Oriental;Para 2;de 14 a 18 años, más de 18 años;;;Blíster de 91 x 153 x 24 mm;Medio;Fantasy Flight;Alta;Creación de mazo;Español;
1902;Fantasma Blitz;13.5;Disponible;;;Fantasía;Familiares, Fiesta, Rápido, Viaje;de 8 a 10 años, de 10 a 14 años, de 14 a 18 años;2, 3, 4, 5, 6, 7, 8;;;;Devir;;Habilidad;Español;
1903;Sombras sobre Londres;36.9;Disponible;;;Misterio;Familiares;de 10 a 14 años, de 14 a 18 años, más de 18 años;2, 3, 4, 5, 6;60 - 90 min.;;;Devir;;Deducción e Investigación;Español;
1904;El Mercado de los Ladrones;14.36;Disponible;;326370;Comercio;Familiares;de 10 a 14 años, de 14 a 18 años, más de 18 años;3, 4, 5;30 - 60 minutos;;;Edge Entertainment;;Colección de sets;Español;0
1905;Imagine;19.99;Disponible;;191894;Abstracto;Familiares, Fiesta, Rápido, Viaje;de 10 a 14 años, de 14 a 18 años;3, 4, 5, 6, 7, 8;30 minutos;;;Asmodée;;Juegos de palabras;;6,9334
1906;Las Mansiones de la Locura (Segunda edición);99.95;Disponible;;205059;;;de 14 a 18 años;1, 2, 3, 4, 5;120 - 180;;;Edge Entertainment;;;Español;8,05829
1907;El negocio es lo primero - Android Netrunner;8.37;Disponible;;;;;de 14 a 18 años;2;;91 x 152 x 24 mm ;;Edge Entertainment;;;Español;
1908;Valeria: Refuerzos;21.95;Disponible;;;Espada y Brujería, Medieval;;de 14 a 18 años, más de 18 años;1, 2, 3, 4, 5;30 - 45 min;185 x 115 x 40 mm;Medio;Crazy Pawn;Media;Creación de mazo;Español;
1909;Crónicas del Crimen: Virtual kit;6;Disponible;;;;;de 14 a 18 años;1, 2, 3, 4;90;;;Lucky Duck Games;;;;
1910;El símbolo Arcano: Augurios del Faraón;24.95;Disponible;;;;;de 14 a 18 años;1, 2, 3, 4, 5, 6, 7, 8;120;;;Fantasy Flight;;;Español;
1911;ROX;12.88;Disponible;;;Naturaleza;Rápido, Infantil, Viaje;de 6 a 8 años, de 8 a 10 años, de 10 a 14 años;2, 3, 4;15 min.;;;Haba;;Habilidad;;
