Num. Id;Nombre;Precio;Disponibilidad;Autor;BGG;Temática;Si Buscas...;Edad;Núm. jugadores;Tiempo de juego;Medidas;Complejidad;Editorial;Dependencia del idioma;Mecánica;Idioma;ranking
1;Bed Bugs;12.63;Disponible;;;;;de 3 a 6 años;2, 3, 4;;28x28x8cm;;Cayro;;;;
2;Doodle Rush;17.22;Disponible;;244948;;Para 2, Infantil;;;;;Fácil;SD Games;Nula (Sólo instrucciones);;Español, Catalán;6,33233
3;Brains: Mapa del Tesoro;13.45;Disponible;;;;;de 8 a 10 años, de 10 a 14 años, de 14 a 18 años;1;5-20;;;SD Games;;;;
4;Fuji Koro;57.6;Disponible;;;;;de 10 a 14 años, de 14 a 18 años, más de 18 años;1, 2, 3, 4, 5, 6;60;;;Game Brewer;;;;
5;Narcos: El juego de tablero;39.04;Disponible;Fel Barros, Renato Sasdelli;253106;Politica, TV/Series/Cine;;más de 18 años;2, 3, 4, 5;100 min;305 x 305 x 85 mm;Medio;Edge Entertainment;Poca;Deducción e Investigación;Español;7,31038
6;Skull Tales: Piratas mellizos;10.26;Disponible;;;;;;;120;;;Eclipse Editorial;;;Español;
7;One Night Ultimate Werewolf (inglés);14.07;Disponible;;147949;;;de 8 a 10 años, de 10 a 14 años, de 14 a 18 años;3, 4, 5, 6, 7, 8, +8;10;;;Bezier Games;Nula (Sólo instrucciones);;Español;7,13855
8;Virus;13.46;Disponible;Carlos López, Domingo Cabrero, Santi Santisteban;180020;Medicina;Familiares, Fiesta, Infantil, Viaje;de 8 a 10 años, de 10 a 14 años, de 14 a 18 años;2, 3, 4, 5, 6;20 min;105 x 150 x 30 mm;Fácil;Tranjis;Nula (Sólo instrucciones);Colección de sets;Español, Inglés, Francés;6,75959
9;Virus 2 Evolution;11.95;Disponible;Carlos López, Domingo Cabrero, Santi Santisteban;266667;Medicina;Familiares, Fiesta, Viaje;de 8 a 10 años, de 10 a 14 años, de 14 a 18 años, más de 18 años;2, 3, 4, 5, 6;10 - 20 min;105 x 150 x 30 mm;Fácil;Tranjis;Nula (Sólo instrucciones);Colección de sets;Español;7,12686
10;La Morada Maldita;15.25;Disponible;Sergio Ortiz Ruiz;326908;Urbano;Familiares, Infantil, Viaje;de 8 a 10 años, de 10 a 14 años, de 14 a 18 años, más de 18 años;2, 3, 4, 5, 6;20 min.;130 x 170 x 80 mm;Medio;Mercurio;Nula (Sólo instrucciones);Colección de sets;Español;8,53992
11;¡Arre unicornio!;14.95;Disponible;Brer Ballesteros, Cere Venteo;257766;Medicina;Fiesta, Viaje;de 10 a 14 años, de 14 a 18 años, más de 18 años;2, 3, 4, 5, 6, 7, 8;20 - 40 min;115 x 185 x 40 mm;Medio;Zacatrus;Poca;Colección de sets, Roles ocultos;Español;6,61182
12;DC Spyfall: El villano que se perdió;24.95;Disponible;Alexander Ushan;221371;Cómic, TV/Series/Cine;Familiares, Fiesta, Viaje;de 14 a 18 años, más de 18 años;3, 4, 5, 6, 7, 8;45 min;155 x 200 x 45 mm;Fácil;Zacatrus;Nula (Sólo instrucciones);Preguntas y respuestas, Roles ocultos;Español;6,66986
13;Coup + Reforma;14.95;No está disponible;Rikki Tahta;131357;Medieval;Familiares, Fiesta;de 10 a 14 años, de 14 a 18 años, más de 18 años;3, 4, 5, 6, 7, 8, +8;15 min;180 x 130 x 40 mm;Medio;Zacatrus;Poca;Roles ocultos;Español;7,00377
14;Batman Póker de Villanos;9.95;Disponible;Matt Hyra;208533;Cómic, TV/Series/Cine;Familiares, Fiesta, Viaje;de 14 a 18 años, más de 18 años;5, 6, 7, 8;30 min;138 x 100 x 38 mm;Medio;Zacatrus;Poca;Bazas, Colección de sets;Español;5,442
15;El Portero Baldomero;12.5;No está disponible;Rikki Tahta;205420;Abstracto;Familiares, Fiesta, Rápido;de 10 a 14 años, de 14 a 18 años;3, 4, 5, 6, 7, 8;15;130 x 180 x 40 mm;Fácil;Zacatrus;Alta;Roles ocultos;Español;6,73713
16;El Espía (que se perdió);19.95;Disponible;Alexander Ushan;166384;Detectivesca;Familiares, Fiesta, Rápido;de 10 a 14 años, de 14 a 18 años, más de 18 años;3, 4, 5, 6, 7, 8;15 min;150 x 205 x 65 mm;Fácil;Zacatrus;Poca;Preguntas y respuestas, Roles ocultos;Español;6,87755
17;Misión Secreta;9.95;Disponible;Alberto Corazón;285183;Ciencia Ficción;Familiares, Fiesta, Rápido, Viaje;de 10 a 14 años, de 14 a 18 años, más de 18 años;4, 5, 6, 7, 8, +8;15 min;110 x 150 x 30 mm;Fácil;Zacatrus;Nula (Sólo instrucciones);Roles ocultos;Español;6,68852
18;GoT: Game of Trolls;9.95;Disponible;;;TV/Series/Cine;Familiares, Fiesta, Viaje;de 10 a 14 años, de 14 a 18 años;+8;30 min;;Fácil;Zacatrus;Media;Deducción e Investigación, Roles ocultos;Español;
19;Alex Colt: Cadete Espacial;9.95;Disponible;Alberto Corazón;236479;Arte y Literatura, Ciencia Ficción;Familiares, Rápido, Infantil;de 10 a 14 años, de 14 a 18 años, más de 18 años;4, 5, 6, 7, 8, +8;15 min;140 x 210 x 40 mm;Medio;Zacatrus;Nula (Sólo instrucciones);Roles ocultos;Español;6,08
20;'''10'''' To Kill''';19.95;Disponible;Benoit Bannier;174476;;Familiares, Rápido;de 14 a 18 años, más de 18 años;2, 3, 4;10 min;200 x 200 x 60 mm;Medio;Zacatrus;Nula (Sólo instrucciones);Deducción e Investigación;Español;6,27392
21;24h;24.95;Disponible;David Bernal;;Detectivesca, Historia, Mitología;Familiares, Para 2, Viaje;de 14 a 18 años, más de 18 años;2, 3, 4, 6, 7, 8;20 min;160 x 230 x 60 mm;Medio;Zacatrus;Nula (Sólo instrucciones);Deducción e Investigación, Programación acciones;Español;
22;Saboteur, ¡los enanos contraatacan!;17.95;No está disponible;;;;Familiares;de 8 a 10 años, de 10 a 14 años, de 14 a 18 años;3, 4, 5, 6, 7, 8, +8;30;;;Mercurio;;;Español;
23;Saboteur 2;11.24;No está disponible;;;;;de 8 a 10 años, de 10 a 14 años, de 14 a 18 años;2, 3, 4, 5, 6, 7, 8;30 minutos;;;Mercurio;;;Español;
24;Saboteur;10.95;No está disponible;;;;;de 8 a 10 años, de 10 a 14 años, de 14 a 18 años;3, 4, 5, 6, 7, 8;'''30-60''''''';;;Mercurio;;;Español;
25;Misión Cumplida;9.95;No está disponible;Ken Gruhl;246761;Abstracto;Familiares, Cooperativo, Solitario, Para 2, Viaje;de 10 a 14 años, de 14 a 18 años, más de 18 años;1, 2, 3, 4;20 min;110 x 150 x 30 mm;Medio;Zacatrus;Poca;Bazas, Gestión de cartas;Español;7,18807
26;Macedonia de Letras;18.2;Disponible;;275467;Abstracto;Familiares, Cooperativo, Fiesta;de 10 a 14 años, de 14 a 18 años, más de 18 años;2, 3, 4, 5, 6;30 - 45 min;230 x 160 x 50 mm;Fácil;Devir;Nula (Sólo instrucciones);Deducción e Investigación;Español;7,2944
27;Trapwords;18;Disponible;Jan Brezina, Martin Hrabalek, Michal Pozarek;257527;Espada y Brujería;Familiares, Fiesta;de 8 a 10 años, de 10 a 14 años, de 14 a 18 años, más de 18 años;4, 5, 6, 7, 8;30 min;160 x 235 x 50 mm;Medio;Devir;Alta;Preguntas y respuestas;Español;7,01222
28;Just One;19.99;Disponible;Bruno Sautter, Ludovic Roudy;254640;Abstracto;;de 8 a 10 años, de 10 a 14 años, de 14 a 18 años;3, 4, 5, 6, 7;20 min;160 x 230 x 50 mm;Fácil;Repos Production;Alta;;Español;7,60517
29;The Mind;11.65;No está disponible;;;Abstracto;Familiares, Fiesta, Rápido, Viaje;de 8 a 10 años, de 10 a 14 años, de 14 a 18 años;2, 3, 4;;;;Mercurio;;Gestión de cartas;;
30;The Game;11.65;Disponible;;173090;Abstracto;Cooperativo, Solitario, Para 2, Fiesta, Rápido, Viaje;de 8 a 10 años, de 10 a 14 años, de 14 a 18 años;1, 2, 3, 4, 5;20;;Fácil;Mercurio;Nula (Sólo instrucciones);Colección de sets, Negociación;;6,70992
31;The Mind Extreme;11.65;No está disponible;Wolfgang Warsch;287607;Abstracto;Familiares, Fiesta, Rápido, Viaje;de 8 a 10 años, de 10 a 14 años, de 14 a 18 años, más de 18 años;2, 3, 4;20 min;100 x 130 x 20 mm;Medio;Mercurio;Nula (Sólo instrucciones);Gestión de cartas;Español;7,11289
32;La Tripulación;13.5;Disponible;;284083;Ciencia Ficción;Familiares, Cooperativo, Viaje;de 10 a 14 años, de 14 a 18 años, más de 18 años;3, 4, 5;20 min;125 x 180 x 40 mm;Medio;Devir;Poca;Bazas;Español;8,01308
33;Rick y Morty Total Rickall;19.95;No está disponible;Matt Hyra;194232;TV/Series/Cine;Viaje;de 14 a 18 años, más de 18 años;2, 3, 4, 5;25 min.;138 x 100 x 38 mm.;Fácil;Zacatrus;Media;Bazas;Español;6,20208
34;Rick y Morty Tráfico de Megasemillas;0;No está disponible;José D. Flores;240511;TV/Series/Cine;;de 14 a 18 años;2, 3, 4;30 min.;120 x 190 x 35 mm.;Fácil;Crazy Pawn;Nula (Sólo instrucciones);Colección de sets;Español;5,28462
35;Rick y Morty: Mix UP;26.95;Disponible;Óscar Arévalo;258069;TV/Series/Cine;;de 14 a 18 años;2, 3, 4;60 min;190 x 280 x 70 mm;Medio;Crazy Pawn;Media;Gestión de recursos;Español;7,43333
36;El juego de Pickle Rick;35.95;No está disponible;Cory Jones, Matt Hyra;246532;TV/Series/Cine;;de 14 a 18 años, más de 18 años;1, 2;30 min;;Fácil;Gen X Games;Poca;;Español;6,93466
37;Diáspora;6;Disponible;Santiago Eximeno;;Ciencia Ficción;Familiares, Cooperativo, Solitario, Para 2, Experiencia, Narrativo, Viaje;de 10 a 14 años, de 14 a 18 años, más de 18 años;1, 2, 3, 4, 5, 6, 7, 8, +8;5 - 10 horas;85 x 125 x 10 mm;Fácil;Zacatrus;Alta;Puzzle;Español;
38;Virus! Halloween;3.55;Disponible;Carlos López, Domingo Cabrero, Santi Santisteban;;Medicina;Familiares, Rápido, Viaje;de 8 a 10 años, de 10 a 14 años, de 14 a 18 años, más de 18 años;2, 3, 4, 5, 6;20 min.;;Medio;Tranjis;Nula (Sólo instrucciones);Colección de sets;Español;
39;Bellum Magica;26.99;Proximamente (sin fecha);Frédéric Guérard;330665;Fantasía;Familiares, Rápido;de 10 a 14 años, de 14 a 18 años, más de 18 años;2, 3, 4, 5;15 - 30 min.;;Medio;Morapiaf;;Colocación de losetas;Español;8,02857
40;Lucky Numbers;17.99;Proximamente (sin fecha);Michael Schacht;118247;Abstracto;Familiares, Rápido, Viaje;de 8 a 10 años, de 10 a 14 años, de 14 a 18 años, más de 18 años;2, 3, 4;20 min.;;Medio;Tranjis;;Puzzle;Español;6,1488
41;La Expedición Perdida: La Fuente de la Juventud y Otras Aventuras;15.25;Proximamente (sin fecha);Peer Sylvester;248181;Naturaleza;Familiares, Cooperativo, Solitario, Para 2;de 14 a 18 años, más de 18 años;1, 2, 3, 4, 5;30 - 50 min.;150 x 110 x 30 mm;Medio;Gen X Games;;Negociación;Español;7,58021
42;La Expedición Perdida;22.45;No está disponible;Peer Sylvester;216459;Naturaleza;Familiares, Cooperativo, Solitario, Para 2;de 14 a 18 años, más de 18 años;1, 2, 3, 4, 5;30 - 50 min;160 x 240 x 55 mm;Medio;Gen X Games;Nula (Sólo instrucciones);Negociación;Español;7,06549
43;Crazy Taco;16.15;Proximamente (sin fecha);Jesús Álvarez;289397;Gastronómica;Familiares, Solitario, Para 2, Viaje;de 8 a 10 años, de 10 a 14 años, de 14 a 18 años, más de 18 años;1, 2;20 - 30 min.;;Medio;Ctrlaltcreative;;Roll&Write;Español;7,82759
44;Bees: El Reino Secreto;16.2;Proximamente (sin fecha);;271528;Animales;Familiares, Rápido, Eurogame;de 8 a 10 años, de 10 a 14 años, de 14 a 18 años, más de 18 años;2, 3, 4, 5, 6;10 - 30 min.;;Medio;Maldito Games;;Gestión de recursos;Español;6,38622
45;The Gallerist;107;Proximamente (sin fecha);Vital Lacerda;125153;Arte y Literatura;Solitario, Para 2, Eurogame;de 14 a 18 años, más de 18 años;1, 2, 3, 4;60 - 150 min.;;Medio;Maldito Games;;Gestión de recursos;Español;8,04639
46;Posavasos 2.0;6.95;Disponible;;;;;de 14 a 18 años;1, 2, 3, 4, 5, 6, 7, 8, +8;;;;Zacatrus;;;;
47;'''75 Gnom'''' Street''';18;Disponible;;215065;Fantasía;Familiares;de 10 a 14 años, de 14 a 18 años, más de 18 años;2, 3, 4;30 min.;;Medio;Zacatrus;Poca;Colección de sets, Deducción e Investigación;Español;5,76953
48;Zumos - On the Rocks Edition;9.95;Disponible;David Amorin, Ramón Redondo;;Gastronómica;Familiares, Para 2, Fiesta, Rápido, Viaje;de 8 a 10 años, de 10 a 14 años, de 14 a 18 años, más de 18 años;2, 3, 4, 5, 6;20 min.;;Medio;Zacatrus;Nula (Sólo instrucciones);Colección de sets, Gestión de cartas;Español;
49;Picnic;9.95;Disponible;David Amorin, Ramón Redondo;318328;Gastronómica;Familiares, Solitario, Para 2, Rápido, Viaje;de 8 a 10 años, de 10 a 14 años, de 14 a 18 años, más de 18 años;1, 2, 3, 4, 5;15 min.;;Medio;Zacatrus;Nula (Sólo instrucciones);Colección de sets;Español;7,68529
50;SCOPE Stalingrad;15;Disponible;Juan A. Nácher;309297;Historia;Para 2, Rápido;de 14 a 18 años, más de 18 años;2, 3, 4;10 - 15 min.;160 x 110 x 40 mm;Medio;Zacatrus;Nula (Sólo instrucciones);Gestión de cartas, Tienta la suerte;Español;7,56596
51;Draftosaurus: Marina;12.95;Disponible;Antoine Bauza, Corentin Lebrat, Ludovic Maublanc, Théo Rivière;320777;Dinosaurios;Familiares, Para 2, Viaje;de 8 a 10 años, de 10 a 14 años, de 14 a 18 años, más de 18 años;2, 3, 4, 5;15 min.;100 x 200 x 40 mm;Medio;Zacatrus;Nula (Sólo instrucciones);Draft;Español;7,29256
52;Draftosaurus;19.95;No está disponible;Antoine Bauza, Corentin Lebrat, Ludovic Maublanc, Théo Rivière;264055;Dinosaurios;Familiares, Para 2, Viaje;de 8 a 10 años, de 10 a 14 años, de 14 a 18 años, más de 18 años;2, 3, 4, 5;15 min;200 x 200 x 55 mm;Medio;Zacatrus;Nula (Sólo instrucciones);Draft;Español;7,17947
53;¡Extinción!;13.95;Disponible;David GJ;300993;Dinosaurios;Familiares, Rápido;de 8 a 10 años, de 10 a 14 años, de 14 a 18 años, más de 18 años;2, 3, 4, 5, 6;15 min.;105 x 150 x 35 mm.;Fácil;Gnomosaurus;Nula (Sólo instrucciones);Colección de sets;Español;7,77983
54;Dinosaur Island;62.99;No está disponible;Brian Lewis, Jonathan Gilmour;221194;Dinosaurios;Para 2, Eurogame;de 8 a 10 años, de 10 a 14 años, de 14 a 18 años, más de 18 años;2, 3, 4;90 -120 min;295 x 295 x 70 mm;Medio;Devir;Media;Gestión de recursos;Español;7,7216
55;Osopark;27;No está disponible;;;;;de 8 a 10 años, de 10 a 14 años, de 14 a 18 años;2, 3, 4;30 - 45;;;Maldito Games;;;Español;
56;Draftosaurus: Aerial Show;12.95;Disponible;Antoine Bauza, Corentin Lebrat, Ludovic Maublanc, Théo Rivière;320778;Dinosaurios;Familiares, Para 2, Viaje;de 8 a 10 años, de 10 a 14 años, de 14 a 18 años, más de 18 años;2, 3, 4, 5;15 min.;100 x 200 x 40 mm;Medio;Zacatrus;Nula (Sólo instrucciones);Draft;Español;7,08935
57;Hatflings!;16;Disponible;Fernando Chavarría, Judit Hurtado;199800;Cuentos, Fantasía;Familiares, Para 2, Viaje;de 10 a 14 años, de 14 a 18 años;2;25 min.;200 x 200 x 60 mm;Medio;Zacatrus;Nula (Sólo instrucciones);Puzzle;Español;6,57024
58;Dragon Parks;19.95;Disponible;Nicolas Sato;301018;Fantasía, Mitología;Familiares, Para 2, Rápido;de 8 a 10 años, de 10 a 14 años, de 14 a 18 años, más de 18 años;2, 3, 4, 5;15 - 30 min.;200 x 200 x 50 mm;Medio;Zacatrus;;Draft;Español;6,81818
59;Buffy Cazavampiros Kilómetro 0;40;No está disponible;Thomas M. Gofton;203102;Terror, TV/Series/Cine;Ameritrash;de 14 a 18 años, más de 18 años;1, 2, 3, 4, 5, 6;40 - 60 min.;267 x 267 x 73 mm;Medio;Gen X Games;Media;Exploración y Aventura;Español;6,87346
60;Port Royal Exp Aventura Comienza Kilómetro 0;13.72;No está disponible;Alexander Pfister;219265;Comercio;;de 8 a 10 años, de 10 a 14 años, de 14 a 18 años;1, 2, 3, 4;30 min;130 x 180 x 40 mm;Fácil;MasQueOca;Poca;;Español;7,13941
61;Influentia Kilómetro 0;19.99;No está disponible;Miguel Bruque;311191;Cyberpunk;Familiares;de 10 a 14 años, de 14 a 18 años, más de 18 años;3, 4;45 min.;200 x 200 x 60 mm;Medio;Ludonova;Nula (Sólo instrucciones);Bazas;Español;7,46897
62;Ad Astra Kilómetro 0;49.95;No está disponible;;38343;;;de 10 a 14 años, de 14 a 18 años;;60;;;Edge Entertainment;;;Español;6,86997
63;Skytear: Taulot Kilómetro 0;24.3;Disponible;;;;;;;;;;TCG;;;;
64;Skytear;58.5;Disponible;Giacomo Neri, Riccardo Neri, Riccardo Parmeggiani;25906;Espada y Brujería;Para 2, Ameritrash;de 14 a 18 años, más de 18 años;2, 3, 4;45 min.;250 x 295 x 95 mm;Medio;TCG;Media;Arena;Español;0
65;Skytear: Nupten;27;Disponible;;;;;;;;;;TCG;;;;
66;Skytear: Taulot;27;Disponible;;;;;;;;;;TCG;;;;
67;Skytear: Liothan;27;Disponible;;;;;;;;;;TCG;;;;
68;Skytear: Kurumo;27;Disponible;;;;;;;;;;TCG;;;;
69;Godzilla: King of the Monsters Kilómetro 0;32.35;Disponible;Enrique Dueñas;323718;TV/Series/Cine;Familiares;de 14 a 18 años, más de 18 años;2, 3, 4, 5;30 - 60 min.;277 x 192 x 65 mm;Medio;Gen X Games;;Tienta la suerte;Español;9,66667
70;Afrojungle Kilómetro 0;31.98;Disponible;Raúl Dalorto Rodríguez;304864;Naturaleza;Familiares;de 14 a 18 años, más de 18 años;2, 3, 4, 5, 6;;305 x 305 x 75 mm;Medio;Afrogames;Media;Tienta la suerte;Español;0
71;En una escala de 1 a T-Rex Kilómetro 0;17.99;Disponible;;;Abstracto;Familiares, Fiesta, Rápido, Viaje;de 8 a 10 años, de 10 a 14 años, de 14 a 18 años, más de 18 años;2, 3, 4, 5, 6, 7, 8;15 min.;195 x 110 x 80 mm;Medio;Asmodée;Poca;Habilidad;Español;
72;Airship City Kilómetro 0;35.99;Disponible;Masaki Suga;256442;Urbano;Eurogame;de 14 a 18 años, más de 18 años;3, 4;75 - 120 min.;310 x 220 x 50 mm;Medio;Asmodée;Nula (Sólo instrucciones);Gestión de recursos;Español;7,22759
73;Dead of Winter: Colonias en Guerra Kilómetro 0;39.99;Disponible;;;;;de 14 a 18 años;2, 3, 4, 5;60 - 120;;;Asmodée;;;Español;
74;Adrenalina Kilómetro 0;40.5;Disponible;;202408;;;de 14 a 18 años;3, 4, 5;60;;;Devir;;;;7,05663
75;Spy Blox Kilómetro 0;12.1;Disponible;;;Abstracto;Familiares, Rápido, Infantil, Viaje;de 3 a 6 años, de 6 a 8 años, de 8 a 10 años, de 10 a 14 años, de 14 a 18 años, más de 18 años;2, 3, 4, 5, 6;10 min.;;Fácil;Mercurio;;Tienta la suerte;Español;
76;Skytear: Nupten Kilómetro 0;24.3;Disponible;;;;;;;;;;TCG;;;;
77;Afrogym Kilómetro 0;31.98;Disponible;Alberto del Río López;304863;Urbano;Familiares;de 14 a 18 años, más de 18 años;2, 3, 4, 5, 6;90 min.;305 x 305 x 75 mm;Medio;Afrogames;Media;Habilidad;Español;1
78;Museum - Los Arqueólogos Kilómetro 0;24.29;Disponible;Éric Dubus, Olivier Melison;241852;Historia;Familiares, Eurogame;de 14 a 18 años, más de 18 años;2, 3, 4;60 min.;150 x 300 x 45 mm;Medio;Devir;Media;Colección de sets, Gestión de recursos;Español;7,2513
79;Museum;54;Disponible;Éric Dubus, Olivier Melison;204505;Historia;Familiares, Eurogame;de 10 a 14 años, de 14 a 18 años, más de 18 años;2, 3, 4;30 - 60 min;300 x 300 x 90 mm;Medio;Devir;Poca;Colección de sets, Gestión de recursos;Español;7,23824
80;Museum - Los Arqueólogos;26.99;Disponible;Éric Dubus, Olivier Melison;241852;Historia;Familiares, Eurogame;de 14 a 18 años, más de 18 años;2, 3, 4;60 min.;150 x 300 x 45 mm;Medio;Devir;Media;Colección de sets, Gestión de recursos;Español;7,2513
81;Museum - El Premio del Público;26.99;Disponible;Éric Dubus, Olivier Melison;242411;Historia;Familiares, Eurogame;de 10 a 14 años, de 14 a 18 años, más de 18 años;2, 3, 4, 5;60 min.;295 x 295 x 45 mm;Medio;Devir;Media;Colección de sets, Gestión de recursos;Español;7,39661
82;Museum - El Premio del Público Kilómetro 0;24.29;Disponible;Éric Dubus, Olivier Melison;242411;Historia;Familiares, Eurogame;de 10 a 14 años, de 14 a 18 años, más de 18 años;2, 3, 4, 5;60 min.;295 x 295 x 45 mm;Medio;Devir;Media;Colección de sets, Gestión de recursos;Español;7,39661
83;Starcadia Quest Kilómetro 0;71.99;Disponible;Eric M. Lang;257193;Ciencia Ficción, Espada y Brujería;Ameritrash;de 14 a 18 años, más de 18 años;2, 3, 4;60 min.;310 x 310 x 105 mm;Medio;Asmodée;Poca;Crawler;Español;7,74111
84;El Pequeño Oso Kilómetro 0;26.68;Disponible;Hajo Bücken;4586;Animales;Familiares, Cooperativo, Rápido, Infantil;de 6 a 8 años, de 8 a 10 años, de 10 a 14 años, de 14 a 18 años, más de 18 años;2, 3, 4, 5;15 min.;255 x 255 x 45 mm;Medio;Gen X Games;Nula (Sólo instrucciones);Colocación de losetas;Español;5,36047
85;Kushi Express Kilómetro 0;18.45;Disponible;;;;;;;;;Medio;Morapiaf;;;Español;
86;Monolith Arena: Golems Kilómetro 0;9.72;Disponible;Michal Walczak;;Espada y Brujería;Para 2;;;;150 x 215 x 20 mm;Medio;Maldito Games;Nula (Sólo instrucciones);Conquista de territorio;Español;
88;Monolith Arena: Academia Kilómetro 0;9.72;Disponible;Michal Walczak;;Espada y Brujería;Para 2;;;;150 x 215 x 20 mm;Medio;Maldito Games;Nula (Sólo instrucciones);Conquista de territorio;Español;
89;Tricks and the Phantom Kilómetro 0;18.58;Disponible;;;Detectivesca;Familiares, Rápido, Viaje;de 10 a 14 años, de 14 a 18 años, más de 18 años;2, 3, 4;10 - 20 min.;110 x 63 x 40 mm;Medio;Oink Games;;Tienta la suerte;Español;
90;Talismán Cuentos Legendarios Kilómetro 0;33.29;Disponible;Lukas Zach, Michael Palm;255658;Espada y Brujería;Familiares, Cooperativo;de 8 a 10 años, de 10 a 14 años, de 14 a 18 años, más de 18 años;1, 2, 3, 4, 5, 6;20 - 40 min;295 x 295 x 70 mm;Medio;MasQueOca;Media;Exploración y Aventura;Español;6,46573
91;Leyendas de Andor;36;No está disponible;;127398;;;de 10 a 14 años, de 14 a 18 años;;60-90 min;;;Devir;;;Español;7,20399
92;Munchkin Age of Sigmar Kilómetro 0;22.49;Disponible;Andrew Hackard;275273;Ciencia Ficción;Familiares;de 14 a 18 años, más de 18 años;3, 4, 5, 6;60 - 90 min.;;Medio;Edge Entertainment;Media;Bazas;Español;6,59091
93;Anubixx Kilómetro 0;10.48;No está disponible;Florian Ortlepp, Helmut Ortlepp, Steffen Benndorf;287693;Egipto;Familiares, Viaje;de 8 a 10 años, de 10 a 14 años, de 14 a 18 años, más de 18 años;2, 3, 4, 5;20 min.;100 x 130 x 20 mm;Medio;Mercurio;Nula (Sólo instrucciones);Roll&Write;Español;6,172
94;Praga Caput Regni Kilómetro 0;44.5;No está disponible;Vladimír Suchý;308765;Medieval;Eurogame;de 14 a 18 años, más de 18 años;1, 2, 3, 4;30 - 120 min.;300 x 300 x 70 mm;Medio;Arrakis Games;Nula (Sólo instrucciones);Gestión de recursos;Español;8,29308
95;Max el Gato Kilómetro 0;26.68;No está disponible;Jim Deacove;4637;Animales;Cooperativo, Rápido, Infantil;de 3 a 6 años, de 6 a 8 años, de 8 a 10 años, de 10 a 14 años, de 14 a 18 años;1, 2, 3, 4, 5, 6, 7, 8;20 min.;255 x 255 x 45 mm ;Fácil;Gen X Games;Nula (Sólo instrucciones);Tienta la suerte;Español;6,50012
96;Llamada a la Aventura Kilómetro 0;35.99;No está disponible;;238992;Espada y Brujería;Solitario, Para 2;de 10 a 14 años, de 14 a 18 años, más de 18 años;1, 2, 3, 4;30 - 60 min.;;Medio;Asmodée;Media;Gestión de cartas;Español;7,23874
97;Stockpile Edición Épica Kilómetro 0;49.45;No está disponible;;282391;Comercio;Eurogame;de 14 a 18 años, más de 18 años;2, 3, 4, 5;45 min.;;Medio;Arrakis Games;;Gestión de recursos;Español;8,04872
98;Batalla de Genios Stars Kilómetro 0;20.24;No está disponible;;;Abstracto;Familiares, Solitario, Para 2;de 8 a 10 años, de 10 a 14 años, de 14 a 18 años, más de 18 años;1, 2;10 - 20 min;270 x 270 x 65 mm;Fácil;Ludilo;Nula (Sólo instrucciones);Puzzle;Español;
99;Lisboa Kilómetro 0;105.3;No está disponible;Vital Lacerda;;Urbano;Eurogame;de 14 a 18 años, más de 18 años;;;;Medio;Maldito Games;;Gestión de recursos;Español;
100;Dalí el Zorro Kilómetro 0;16.2;No está disponible;;286544;Animales;Familiares, Rápido, Infantil;de 6 a 8 años, de 8 a 10 años, de 10 a 14 años, de 14 a 18 años, más de 18 años;2, 3, 4;15 min.;;Fácil;Maldito Games;;Tienta la suerte;Español;6,75
101;El Monstruo de los Calcetines (versión Mini) Kilómetro 0;7.24;No está disponible;;;Cuentos;Familiares, Rápido, Infantil, Viaje;de 3 a 6 años, de 6 a 8 años, de 8 a 10 años;2, 3, 4;10 min.;;Medio;Haba;;Colección de sets;Español;
102;D-Day Dice: Leyendas Kilómetro 0;12.15;No está disponible;;;;;;;;;;Maldito Games;;;Español;
103;D-Day Dice;45;No está disponible;Emmanuel Aquin;233208;Historia;Cooperativo, Solitario, Para 2;de 14 a 18 años, más de 18 años;1, 2, 3, 4;45 min.;295 x 295 x 75 mm;Medio;Maldito Games;Media;Gestión de recursos, Tienta la suerte;Español;7,70931
104;D-Day Dice: Historias de Guerra;27;Disponible;;;;;;;;;;Maldito Games;;;Español;
105;D-Day Dice: Botín de Guerra;13.5;Disponible;;;;;;;;;;Maldito Games;;;Español;
106;D-Day Dice: De Bolsillo;13.5;No está disponible;Emmanuel Aquin;247567;Historia;Familiares, Cooperativo, Solitario, Para 2, Rápido, Viaje;de 10 a 14 años, de 14 a 18 años, más de 18 años;1, 2, 3, 4, 5, 6, 7, 8;15 min.;140 x 100 x 40 mm;Medio;Maldito Games;Media;Tienta la suerte;Español;6,40419
107;D-Day Dice: Leyendas;13.5;Disponible;;;;;;;;;;Maldito Games;;;Español;
108;D-Day Dice: Muralla Atlántica;27;Disponible;;;;;;;;;;Maldito Games;;;Español;
109;Paracaidistas en tu Bolsillo - D-Day Dice;45;Disponible;Emmanuel Aquin;127721;Historia;Cooperativo, Solitario, Rápido;de 10 a 14 años, de 14 a 18 años, más de 18 años;1, 2, 3, 4;15 min.;295 x 295 x 75 mm;Medio;Maldito Games;Media;Crawler;Español;6,80855
110;D-Day Dice: Jefe Supremo;27;Disponible;;;;;;;;;;Maldito Games;;;Español;
111;D-Day Dice: Muralla Atlántica - Dios con nosotros;13.5;Disponible;;;;;;;;;;Maldito Games;;;Español;
112;D-Day Dice: Camino al Infierno;27;Disponible;;;;;;;;;;Maldito Games;;;Español;
